94597737,0
94599066,875752785
94600726,726591573
94602405,1757953633
94604078,155312745
94605767,398981844
94607440,1100692622
94609123,1688155045
94610809,287731668
94612507,978665011
94614193,1597875073
94615877,862835471
94617557,459442310
94619251,626893175
94620943,1680934497
94622619,1945879011
94624301,675978924
94625990,1502290766
94627680,1190097383
94629381,198311567
94631065,1024815949
94632749,1307734651
94634434,1238043995
94636114,1343583466
94637800,1402333156
94639485,2012889299
94641174,448376084
94642851,1777357485
94644531,1315449171
94646220,104280619
94656275,585313934
94657749,1234219364
94662783,1824791791
94696724,2058055305
94706445,203094492
94753823,2027144037
94778727,1329793397
94808448,1154616760
94904376,1067360390
94913281,795615156
94945106,1616727239
94995576,66566313
95123230,1682237754
95123514,642808112
95239807,53664324
95342505,1059738437
